filename,filedate,filesize,disk,basedir,uri
011001900111_98182724.pdf,20190308-20:43:35,37377,c:,MARL2019,Desktop\20190321
1533675999.jpg,20190304-16:19:02,120675,c:,MARL2019,Desktop\20190321
1688459130.jpg,20190304-16:18:53,140841,c:,MARL2019,Desktop\20190321
201903.pdf,20190321-10:43:02,520778,c:,MARL2019,Desktop\20190321
chinaunicom2019022210175017508776232218511089715.pdf,20190222-10:18:00,35250,c:,MARL2019,Desktop\20190321
ChinaUnicomCards20190222101226.xls,20190225-07:10:50,30720,c:,MARL2019,Desktop\20190321
New Microsoft Word Document.docx,20190319-10:45:58,274480,c:,MARL2019,Desktop\20190321
011001800411-42130202-1.pdf,20190402-08:59:21,30254,c:,MARL2019,Desktop\20190402
155.jpg,20190402-08:50:31,193983,c:,MARL2019,Desktop\20190402
185.jpg,20190402-08:50:44,183448,c:,MARL2019,Desktop\20190402
201904.pdf,20190402-18:18:09,432040,c:,MARL2019,Desktop\20190402
celluar.docx,20190402-09:01:17,390399,c:,MARL2019,Desktop\20190402
chinaunicom2019032510533153319186375418511089715.pdf,20190325-10:53:50,35221,c:,MARL2019,Desktop\20190402
arm-core.txt,20190321-14:21:14,732,c:,MARL2019,Desktop
ChinaUnicomCards20190325095011.xls,20190325-09:50:28,13824,c:,MARL2019,Desktop
CN96 Network Virtulization.ppt,20190401-10:59:00,3072512,c:,MARL2019,FAETraining\201904
CN96XX.PPTX,20190408-10:50:20,1449295,c:,MARL2019,FAETraining\201904
CN96XX_NPA_NIX_NPC.pptx,20190411-16:35:04,1788946,c:,MARL2019,FAETraining\201904
readme.txt,20190408-14:07:16,308,c:,MARL2019,FAETraining\201904
LiquidSecurity_day1.pptx,20190408-18:58:33,1492760,c:,MARL2019,FAETraining\LiquidSecurity
1003.txt,20190319-18:30:35,45,c:,MARL2019,personal
1.jpg,20190319-13:35:38,101237,c:,MARL2019,personal\DellInspiron14R
2.jpg,20190319-13:37:00,99569,c:,MARL2019,personal\DellInspiron14R
3.jpg,20190319-13:36:37,1177105,c:,MARL2019,personal\DellInspiron14R
inspiron-14r-se-7420_Owner's Manual_zh-cn.pdf,20130311-20:38:24,2619312,c:,MARL2019,personal\DellInspiron14R
inspiron-14r-se-7420_Setup Guide_zh-cn.pdf,20130311-20:38:30,1852296,c:,MARL2019,personal\DellInspiron14R
ikang20190331.pdf,20190331-11:50:19,654762,c:,MARL2019,personal
MW310RE V3.0快速安装指南 1.0.1.pdf,20190316-18:22:02,4985514,c:,MARL2019,personal
xcl_20_402.txt,20190328-18:17:31,155,c:,MARL2019,personal
徐启明简历（ 高级软件工程师）英-2019.3.11.pdf,20190328-16:18:16,586660,c:,MARL2019,personal
徐启明简历（+高级软件工程师）2019.3.11.pdf,20190401-12:51:17,730258,c:,MARL2019,personal
CN9XXX_requirements_for_PKI_v1_01282019.xlsx,20190311-08:50:02,15684,c:,MARL2019,Supports
EB83_SDK6.xmind,20190329-20:57:13,285631,c:,MARL2019,Supports
