filename,filedate,filesize,disk,basedir,uri
readme.txt,20140324-18:35:04,27,f:,Backup,BaiduYunDownload\Friends.COMPLETE.1994-2003.BD.MiniSD-TLF
readme.txt,20110301-21:26:58,1251,f:,Backup,bak80GB\study
readme.txt,20180426-14:31:36,153,f:,Backup,Email
readme.txt,20170405-17:08:20,416,f:,Backup,gateway\vpn
readme.txt,20190514-17:17:53,771,f:,MARL2019,FAETraining\201904
readme.txt,20190306-09:46:45,349,f:,MARL2019,Supports\H3C\20190306nitroxv_for_lb
readme.txt,20190508-16:11:19,273,f:,MARL2019,Supports\H3C\20190508Security_pkohang
readme.txt,20190514-18:38:13,1165,f:,MARL2019,Supports\H3C\20190514pkohang_from_Security
readme.txt,20190318-10:55:15,2008,f:,MARL2019,Supports\salesforce
readme.txt,20190529-09:34:25,14273,f:,MARL2019,Supports\SDK_EBB\DB-cn9131
readme.txt,20190324-08:41:40,639,f:,MARL2019,Tech\map
readme.txt,20180429-13:41:06,887,f:,MARL2019,Tech\python3\Base64Coding
readme.txt,20190608-15:01:29,736,f:,MARL2019,Tech\python3\capture
readme.txt,20190226-20:43:16,176,f:,MARL2019,Tech\python3\syncDir
readme.txt,20180905-08:40:45,2800,f:,OS_ISO,
readme.txt,20190901-09:54:08,457,f:,pytool,FilesAnalysis
readme.txt,20190823-09:47:59,431,f:,pytool,syncDir
readme.txt,20190319-12:00:09,100,f:,SDK,BDK\margin
readme.txt,20150727-15:00:08,7725,f:,SDK,linux2.6
readme.txt,20181106-15:24:48,3467,f:,SDK,NitroxV\20181106release
readme.txt,20180206-12:32:42,3702,f:,Supports,h3c\2018\20180206hig2_parser
readme.txt,20180228-09:43:09,2836,f:,Supports,h3c\2018\20180228xlaui_perf
readme.txt,20180309-11:31:13,14152,f:,Supports,h3c\2018\20180301payload_corrupted
readme.txt,20180320-15:00:08,2048,f:,Supports,h3c\20180320pcie_test
readme.txt,20180725-16:38:58,484,f:,Supports,h3c\20180322sr66pkohang\20180605
readme.txt,20180327-17:19:07,1918,f:,Supports,h3c\20180327wqe_corrupted
readme.txt,20180330-19:43:47,1589,f:,Supports,h3c\20180328ilkdown
readme.txt,20181010-19:30:16,5855,f:,Supports,h3c\20180611_cryto-core
readme.txt,20181106-11:35:00,1746,f:,Supports,h3c\20181106ipv6fragment
readme.txt,20181117-07:50:40,1300,f:,Supports,h3c\20181117kernelpanic_8370
readme.txt,20181218-13:48:09,2335,f:,Supports,h3c\20181203jabber_83xx
readme.txt,20190124-16:07:22,5298,f:,Supports,h3c\20190124sr66perf
readme.txt,20171129-17:26:14,2653,f:,Supports,h3c\EBB83_SDK6XX\se2-ga
readme.txt,20170902-17:20:02,4097,f:,Supports,h3c\Wireless_design\20170902se
readme.txt,20171025-12:19:37,157,f:,Supports,h3c\Wireless_design\20171025uart9600
readme.txt,20171108-09:21:05,3282,f:,Supports,h3c\Wireless_design\20171106build_issue
readme.txt,20180115-17:32:19,9599,f:,Supports,h3c\Wireless_design\20180115mmc
readme.txt,20170308-09:07:52,1529,f:,Supports,huawei\2016\20161230_sdk230_mismatch
readme.txt,20170926-09:31:54,1746,f:,Supports,huawei\20170921\notmatch
readme.txt,20171128-20:06:26,526,f:,Supports,huawei\20171128matchisssue
readme.txt,20181008-15:44:30,4439,f:,Supports,huawei\20180820matchissue
readme.txt,20190107-17:04:02,667,f:,Supports,huawei\20190104notmatch
readme.txt,20180427-16:13:21,5373,f:,Supports,liquidIO\baidu\20180424performance_test
readme.txt,20180426-19:35:59,889,f:,Supports,liquidIO\baidu\20180426preboot_issue
readme.txt,20180815-20:34:12,5971,f:,Supports,liquidIO\baidu\20180803_driver_identify
readme.txt,20180816-13:41:32,356,f:,Supports,liquidIO\baidu\20180809pxe
readme.txt,20181018-14:57:28,482,f:,Supports,liquidIO\baidu\20181018perf_225
readme.txt,20170418-13:38:29,324,f:,Supports,liquidIO\JDCOM
readme.txt,20160919-12:46:53,715,f:,Supports,Nitrox
readme.txt,20170412-10:25:24,4354,f:,Supports,Nitrox\xiaomi\20170412xiaomi_dualcard
readme.txt,20171031-22:23:21,6324,f:,Supports,Qlogic\20171031qingCloud
readme.txt,20180423-11:27:44,9057,f:,Supports,Qlogic\20180415anyuan
readme.txt,20180925-15:01:37,18278,f:,Supports,Qlogic\h3c\20180807QinQ\20180827
readme.txt,20181023-13:54:22,4075,f:,Supports,Qlogic\h3c\20180807QinQ\20181023
readme.txt,20180821-16:38:12,1594,f:,Supports,Qlogic\h3c\20180807QinQ
readme.txt,20181011-19:44:15,434,f:,Supports,Qlogic\h3c\20180815power_cycling\20181011
readme.txt,20180821-15:23:39,108,f:,Supports,Qlogic\h3c\20180817redhat7.3
readme.txt,20180927-15:44:35,1720,f:,Supports,Qlogic\h3c\20180927ReadSFP
readme.txt,20180524-13:03:01,5332,f:,Supports,Qlogic\iscsi
readme.txt,20180802-18:49:38,7010,f:,Supports,Qlogic\iscsi\windows\slipstream_log
readme.txt,20180731-14:54:48,578,f:,Supports,Qlogic\sugon\20180704_4x10G
readme.txt,20180818-07:08:43,205,f:,Supports,Qlogic\sugon\20180816lldp
readme.txt,20180828-11:53:46,5458,f:,Supports,Qlogic\sugon\20180828clp_for_uefi
readme.txt,20180829-10:45:13,2521,f:,Supports,Qlogic\sugon\20180828_prg_nvm
readme.txt,20180329-19:54:26,5466,f:,Supports,Qlogic\sugon
readme.txt,20180423-16:49:32,2087,f:,Supports,Qlogic\sugon\windows
readme.txt,20170205-10:07:32,19227,f:,Supports,thunderX\android
readme.txt,20181019-08:25:12,785,f:,Tech,OVStest\img
readme.txt,20181115-21:48:30,981,f:,Tech,python\batForVirtualenv
readme.txt,20181224-16:07:22,1258,f:,Tech,python\contacts
readme.txt,20181228-21:17:06,753,f:,Tech,python\imageConfig
readme.txt,20180407-14:41:24,791,f:,Tech,python\merger_xls
readme.txt,20181121-19:07:36,627,f:,Tech,python\opencv\camera
readme.txt,20181121-18:55:13,673,f:,Tech,python\opencv\image
readme.txt,20181214-19:07:34,642,f:,Tech,python\pdf2txt
readme.txt,20181217-21:46:26,980,f:,Tech,python\voice
readme.txt,20190128-16:34:07,1426,f:,Tech,python\wallpaper
readme.txt,20180307-20:27:43,162,f:,Tech,python\web
readme.txt,20181119-20:22:11,169,f:,Tech,python\weekly_merger
readme.txt,20180429-13:41:06,887,f:,Tech,python3\Base64Coding
readme.txt,20181130-15:16:38,1482,f:,Tech,python3\dlna
readme.txt,20181122-10:47:16,594,f:,Tech,python3\opencv\camera
readme.txt,20181126-19:52:43,2883,f:,Tech,python3\opencv\face
readme.txt,20181122-10:42:18,638,f:,Tech,python3\opencv\image
readme.txt,20190226-21:09:56,176,f:,Tech,python3\syncDir
readme.txt,20181217-22:08:51,434,f:,Tech,python3\voice\pyttsx
readme.txt,20181211-14:24:02,138,f:,Tech,python3\voice
readme.txt,20190226-22:10:08,2110,f:,Tech,python3\wallpaper
readme.txt,20190218-18:04:07,168,f:,Tech,python3\weekly_format
readme.txt,20181119-20:22:11,169,f:,Tech,python3\weekly_merger
readme.txt,20131015-10:38:52,0,f:,Tech,QT\test\qcom-1.1\qcom
readme.txt,20181205-15:04:45,3226,f:,Tech,WM73_NP\crypto
readme.txt,20150910-08:39:41,624,f:,Tech,WM73_NP\phy\10G\MGD_Preview_Release_2.6p2\MGD\sample\CRCChecker
readme.txt,20150910-08:39:40,587,f:,Tech,WM73_NP\phy\10G\MGD_Preview_Release_2.6p2\MGD\sample\eyemonitor
