filename,filedate,filesize,disk,basedir,uri
011001900211_90439665.pdf,20190606-13:07:13,37636,c:,MARL2019,Desktop
011001900111_98182724.pdf,20190308-20:43:35,37377,c:,MARL2019,Desktop\20190321
1533675999.jpg,20190304-16:19:02,120675,c:,MARL2019,Desktop\20190321
1688459130.jpg,20190304-16:18:53,140841,c:,MARL2019,Desktop\20190321
201903.pdf,20190321-10:43:02,520778,c:,MARL2019,Desktop\20190321
chinaunicom2019022210175017508776232218511089715.pdf,20190222-10:18:00,35250,c:,MARL2019,Desktop\20190321
ChinaUnicomCards20190222101226.xls,20190225-07:10:50,30720,c:,MARL2019,Desktop\20190321
New Microsoft Word Document.docx,20190319-10:45:58,274480,c:,MARL2019,Desktop\20190321
011001800411-42130202-1.pdf,20190402-08:59:21,30254,c:,MARL2019,Desktop\20190402
155.jpg,20190402-08:50:31,193983,c:,MARL2019,Desktop\20190402
185.jpg,20190402-08:50:44,183448,c:,MARL2019,Desktop\20190402
201904.pdf,20190402-18:18:09,432040,c:,MARL2019,Desktop\20190402
celluar.docx,20190402-09:01:17,390399,c:,MARL2019,Desktop\20190402
chinaunicom2019032510533153319186375418511089715.pdf,20190325-10:53:50,35221,c:,MARL2019,Desktop\20190402
ChinaUnicomCards20190325095011.xls,20190418-10:36:56,30720,c:,MARL2019,Desktop\20190402
011001600111_65087221.pdf,20190418-19:49:15,76170,c:,MARL2019,Desktop\20190505
011001600111_65984805.pdf,20190418-19:49:42,76245,c:,MARL2019,Desktop\20190505
155.jfif,20190505-14:08:18,97678,c:,MARL2019,Desktop\20190505
185.jfif,20190505-14:08:24,99620,c:,MARL2019,Desktop\20190505
20190505.pdf,20190505-15:11:26,637556,c:,MARL2019,Desktop\20190505
cellphone1904.docx,20190505-14:09:38,210119,c:,MARL2019,Desktop\20190505
chinaunicom01100190021122005976.pdf,20190423-07:56:17,35219,c:,MARL2019,Desktop\20190505
011001900211_44174026.pdf,20190517-09:27:45,28716,c:,MARL2019,Desktop\20190605
011001900211_63457980.pdf,20190517-09:24:10,42141,c:,MARL2019,Desktop\20190605
155.jpg,20190603-10:32:28,97540,c:,MARL2019,Desktop\20190605
185.jpg,20190603-10:32:38,99409,c:,MARL2019,Desktop\20190605
20190605.pdf,20190604-15:42:51,992411,c:,MARL2019,Desktop\20190605
cell.docx,20190604-12:23:31,209758,c:,MARL2019,Desktop\20190605
chinaUnicom201905170952095298483765118511089715.pdf,20190517-09:52:19,35337,c:,MARL2019,Desktop\20190605
ChinaUnicomCards20190423075301.xls,20190520-11:00:13,30720,c:,MARL2019,Desktop\20190605
ChinaUnicomCards20190517095002.xls,20190520-11:04:00,30720,c:,MARL2019,Desktop\20190605
Travel application 53D201900394 for Shanping Yi (1038.46 USD).msg,20190521-07:49:39,124928,c:,MARL2019,Desktop\20190605
wKj6yFzZ9dyIP5vIAACuxbbIeyEAAH7xwDqmMAAAK7d934.pdf,20190517-09:25:59,44741,c:,MARL2019,Desktop\20190605
arm-core.txt,20190510-15:30:33,900,c:,MARL2019,Desktop
Intel-Skylake.jpg,20190509-11:33:57,321227,c:,MARL2019,Desktop
intel.txt,20190509-12:30:00,109,c:,MARL2019,Desktop
00-Armada_v8_SoC.pdf,20190103-19:36:41,5485388,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
01-Collaterals_v2.pdf,20190103-19:39:52,6076339,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
01_Overview.mp4,20190112-03:13:27,217476986,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
02-DGL Schematics And Layout.pdf,20190103-19:48:16,3434190,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
02_Hardware.mp4,20190112-03:13:46,127779394,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
03-DDR_training.pdf,20190103-20:10:35,2451640,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
03_DDR.mp4,20190112-03:13:56,130286786,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
04-Armada-BSP-Overview.pdf,20190103-20:13:02,1134245,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
04_BSP.mp4,20190112-03:14:25,29551064,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
05-BSP-Release-and-Setup.pdf,20190103-20:14:30,632960,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
05_8KBootRom.mp4,20190112-03:14:38,60816920,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
06-Armada-8K_BootROM.pdf,20190103-20:17:05,738347,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
06A-7K 8K Secure Boot.v1.2.pdf,20190103-20:15:41,377205,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
06_SecureBoot.mp4,20190112-03:14:47,45562296,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
07-Armada-3K_BootROM.pdf,20190103-20:17:41,382888,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
07_3KBootRom.mp4,20190112-03:15:06,14983161,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
08-ARM-Trusted-Firmware.pdf,20190103-20:19:37,670280,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
08_ATF.mp4,20190112-03:15:15,30198823,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
09-Device-Tree-Basics.pdf,20190103-20:21:42,369332,c:,MARL2019,FAETraining\2019\IPBU Armada_3Day_Training
